path,type,required,label,opendata,generated,description,thesaurus
"user","ObjectID","non","","","","Identifiant de l'utilisateur à l'origine de l'import",""
"importedAt","Date","non","","","","Date de l'import ",""
"email","String","non","","","","Email de la personne qui a importé",""
"institution","String","non","","","","Institution à l'origine de l'import",""
"created","Number","non","","","","Nombre de notices créées lors de l'import",""
"updated","Number","non","","","","Nombre de notices mises à jour lors de l'import",""
"rejected","Number","non","","","","Nombre de notices rejetées lors de l'import",""
"unChanged","Number","non","","","","Nombre de notices non mises à jour lors de l'import",""
"notices","Array","non","","","","Liste des notices concernées par cet import",""
"_id","ObjectID","non","","","","",""
"__v","Number","non","","","","",""
