path,type,required,label,opendata,generated,description,thesaurus,label_mh,listeAutorite,idthesaurus
"email","String","oui","","","","","","","",""
"institution","String","oui","","","","","","","",""
"nom","String","non","","","","","","","",""
"prenom","String","non","","","","","","","",""
"group","String","oui","","","","","","","",""
"role","String","oui","","","","","","","",""
"password","String","oui","","","","","","","",""
"hasResetPassword","Boolean","non","","","","","","","",""
"lastConnectedAt","Date","non","","","","","","","",""
"museofile","Array","non","","","","","","","",""
"isBloqued","Boolean","non","","","","","","","",""
"attemptCount","Number","non","","","","","","","",""
"lastFailure","String","non","","","","","","","",""
"_id","ObjectID","non","","","","","","","",""
"__v","Number","non","","","","","","","",""
