path,type,required,label,opendata,generated,description,thesaurus
"PRODUCTEUR","String","non","Producteur","","true","Producteur de la donnée déterminé grâce à la référence : 

      Si la REF commence par IVN ou IVR ou IVD ou IVC, alors PRODUCTEUR=INV

      Si la condition du dessus n'est pas respectée et la REF commence par OA, alors PRODUCTEUR = CAOA

      Si les conditions du dessus ne sont pas respectées et la REF commence par MH, alors PRODUCTEUR = CRMH

      Si les conditions du dessus ne sont pas respectées et la REF commence par AR, alors PRODUCTEUR = ARCH

      Si les conditions du dessus ne sont pas respectées et la REF commence par AP et IDPROD commence par Service départemental, alors PRODUCTEUR = UDAP

      Si les conditions du dessus ne sont pas respectées et la IDPROD commence par SAP ou EMET commence par SAP, alors PRODUCTEUR = MAP

      Sinon PRODUCTEUR = AUTRE
",""
"BASE","String","non","Nom de la base","","true","Nom de la base : Photographies (Mémoire)",""
"CONTIENT_IMAGE","String","non","Contient une image","","true","Champ généré à chaque sauvegarde de la notice. Si notice contient des images, la valeur du champs sera oui', sinon 'non'. Ce champs est utilisé pour l'affichage de la phototèque mais pourrait être supprimé et remplacer par une fonction exist dans ES",""
"POP_FLAGS","Array","non","Alertes POP","","true","Informations et avertissements techniques",""
"POP_IMPORT","Array","non","","","","",""
"REF","String","oui","Référence","","","Référence unique de la notice. Doit contenir uniquement des lettres majuscules de A à Z, des chiffres de 0 à 9 et le tiret bas.",""
"POP_ANCIENNE_REF","String","non","Ancienne reference","","","Ancienne reference avec conversion",""
"TOUT","String","non","Index global","","","Index global [Peut etre déprécié]",""
"ADRESSE","String","non","Adresse et/ou lieu-dit","","","Hameau, lieu-dit, quartier, cote, bois, etc. ; adresse sous la forme Nom (voie) ##",""
"AUTOEU","Array","non","Auteur de l'oeuvre représentée","","","Nom, Prénom (profession ou titre et/ou dates)",""
"AUTG","Array","non","Auteur de la gravure","","","Nom, Prénom (profession ou titre et/ou dates)",""
"AUTP","Array","non","Photographe","","","Nom, Prénom (profession ou titre et/ou dates)",""
"AUTOR","Array","non","Auteur du document reproduit / auteur de l'original","","","Nom, Prénom (profession ou titre et/ou dates)",""
"AUTTI","Array","non","Auteur du tirage","","","Nom, Prénom (profession ou titre et/ou dates)",""
"COM","Array","non","Commune","","","",""
"DOM","Array","non","Domaine","","","Architecture, Objet, Portrait, Reportage. Affiche un avertissement si vide.",""
"EDIF","String","non","Édifice","","","",""
"EXPO","String","non","Référence d’exposition de l’image ","","","",""
"JDATPV","String","non","Précision sur la date de prise de vue","","","",""
"LIEUCOR","String","non","Lieu de conservation du document reproduit ou de l'objet","","","Forme REG ; DPT ; COM ; EDIF",""
"COTECOR","Array","non","Cote de conservation du document reproduit","","","",""
"LIEUCTI","String","non","Lieu de conservation du tirage","","","Forme REG ; DPT ; COM ; EDIF",""
"COTECTI","String","non","Cote de conservation du tirage","","","",""
"LIEUCP","String","non","Lieu de conservation de la photo","","","",""
"COTECP","String","non","Cote conservation du phototype","","","",""
"LEG","String","non","Légende","","","Texte libre, toutes ponctuations admises. Affiche un avertissement si vide.",""
"OBJT","String","non","Objet","","","Saisir le nom de l'objet et sa description dans le même champ",""
"OBS","String","non","Observations","","","Concerne tout phototype, négatif ou tirage. Commentaires de l'auteur de la notice ne trouvant pas place dans d'autres champs",""
"OBSOR","String","non","Observations sur l'original","","","Porte sur l'état ou l'histoire du phototype",""
"OBSTI","String","non","Observations sur le tirage","","","Porte sur l'état ou l'histoire du tirage",""
"PAYS","Array","non","Pays","","","Si plusieurs noms successifs, les citer tous en utilisant le point-virgule comme séparateur",""
"PUBLI","String","non","Référence de publication de l'image","","","Auteur, titre, lieu, éditeur, date",""
"TIREDE","String","non","Référence bibliographique ou documentaire","","","",""
"ROLE","String","non","Rôle interprété","","","Nom de l'acteur : nom du personnage joué",""
"PRECOR","String","non","Précisions sur la conservation de l'original","","","",""
"SERIE","String","non","Titre de la série","","","",""
"THEATRE","String","non","Producteur de la pièce de théâtre ou du film","","","",""
"TITRE","String","non","Titre de la pièce de théâtre ou du film","","","",""
"DMAJ","String","non","Date de mise à jour","","true","Date de la dernière mise à jour",""
"DMIS","String","non","Date de création","","true","Date de la création POP/Mistral",""
"IDPROD","String","non","Nom du producteur","","","Nom du producteur. Affiche un avertissement si vide.",""
"NUMCD","String","non","Numéro de CD","","","Référence du CD ayant servi au chargement des images",""
"NUMF","String","non","Numero de fond","","","",""
"INSEE","Array","non","Code INSEE de la commune","","","Code INSEE de la commune. Doit faire 5 caractères ou plus.",""
"NVD","String","non","Référence sur le vidéodisque","","","",""
"MARQ","String","non","Rang d'affichage de l'image","","","Saisir 1 pour sélectionner l'image qui illustrera la notice Mérimée ou Palisssy correspondante",""
"ACC","String","non","Accessoire de pose","","","",""
"ACQU","String","non","Modalité d'entrée","","","Don, legs, dation, achat, dépôt",""
"ADPHOT","String","non","Adresse de la personne photographiée","","","",""
"AIRE","String","non","Aire d'étude","","","Aire d'étude",""
"ANUMP","String","non","Ancien numéro du négatif","","","",""
"COPY","String","non","Crédit photographique","","","Affiche un avertissement si vide.",""
"COULEUR","String","non","Couleur","","","Couleur [Devrait contenir oui ou non mais contient bcp plus . donnée à nettoyer]",""
"COSTUME","String","non","Costume de la personne représentée","","","",""
"DATIMM","String","non","Date d'immatriculation","","","Date d'entrée dans les collections ou date de traitement intellectuel",""
"DATOEU","Array","non","Date de l'oeuvre","","","Date de l'œuvre représentée (édifice, objet, pièce de théâtre, film), en année",""
"DATPV","String","non","Date de prise de vue","","","AAAA.MM.JJ ; AAAA (vers) ; AAAA-AAAA",""
"DATOR","String","non","Date de l'original","","","Date de l'original",""
"DATTI","String","non","Date du tirage ","","","AAAA.MM.JJ ; AAAA (vers) ; AAAA-AAAA",""
"DATG","String","non","Date gravure","","","Date gravure",""
"DATD","String","non","Date dessin","","","Date dessin",""
"DIFF","String","non","Droits diffusion","","","Droits diffusion",""
"DPT","Array","non","Département","","","",""
"EDIARCH","String","non","Interprétation","","","Interprétation",""
"ECH","String","non","Échelle du graphique","","","",""
"FORMAT","String","non","Format du négatif","","","",""
"FORMATOR","String","non","Format de l'original","","","",""
"FORMATTI","String","non","Format du tirage","","","",""
"LBASE","Array","non","Références liées","","","Lien vers la notice Palissy ou Mérimée contenant le dossier de l'édifice ou de l'objet représenté. Doit contenir exactement 11 caractères et commencer par "EA", "PA", "IA", "IM", "PM", "EM"",""
"WEB","String","non","Accès Mémoire","","","",""
"LIB","String","non","Mots candidats","","","",""
"LOCA","String","non","Localisation","","","Concaténation des champs PAYS ; REG ; DPT ; COM. Affiche un avertissement si vide.",""
"LIEUORIG","String","non","Lieu de dépôt","","","Lieu de dépôt",""
"MCGEO","String","non","Mots-clés géographiques","","","Régions non administratives, parcs naturels, fleuves, massifs montagneux, îles…",""
