path,type,required,label,opendata,generated,description,thesaurus
"REF","String","oui","Référence de la notice","","","",""
"PRODUCTEUR","String","non","PRODUCTEUR","","true","
        Producteur de la donnée défini selon l'algorithme suivant : 
        IA = Inventaire
        PA = Monuments Historiques
        EA = Architecture
        Autre = Autre
        ",""
"BASE","String","non","Nom de la base","","true","Nom de la base : Patrimoine architectural (Mérimée)",""
"CONTIENT_IMAGE","String","non","","","true","Champ généré à chaque sauvegarde de la notice. Si notice contient des images, la valeur du champs sera oui', sinon 'non'. Ce champs est utilisé pour l'affichage de la phototèque mais pourrait être supprimé et remplacer par une fonction exist dans ES",""
"MEMOIRE","Array","non","","","","",""
"POP_COORDONNEES.lat","Number","non","","","","Latitude de la notice en WGS84. Il faut vider le champ COOR et ZONE pour pouvoir éditer ce champ",""
"POP_COORDONNEES.lon","Number","non","","","","Longitude de la notice en WGS84. Il faut vider le champ COOR et ZONE pour pouvoir éditer ce champ",""
"POP_FLAGS","Array","non","Alertes POP","","true","Informations et avertissements techniques",""
"POP_CONTIENT_GEOLOCALISATION","String","non","","","true","Champ généré à chaque sauvegarde de la notice. Si notice contient des une géolocalisation, la valeur du champs sera 'oui', sinon 'non'",""
"POP_COORDINATES_POLYGON.type","String","non","","","","",""
"POP_COORDINATES_POLYGON.coordinates","Array","non","","","","",""
"POP_DATE","Array","non","","","true","Champ qui sera utilisé pour traduire les date en format requetable",""
"POP_IMPORT","Array","non","","","","",""
"TOUT","String","non","","","","Champs qui devait contenir tous les champs dans mistral. Aujourd'hui est vide [DEPRECIE ?]",""
"ACTU","String","non","Destination actuelle de l'édifice","","","",""
"ADRS","String","non","Adresse de l'édifice","","","",""
"AFFE","String","non","Affectataire de l'édifice","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T97"
"AIRE","String","non","Aire d'étude pour le domaine Inventaire","","","",""
"APPL","String","non","Appelation d'usage","","","",""
"APRO","Array","non","Nature de l'acte de protection","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T98"
"ARCHEO","String","non","Référence dans la base Patriarche","","","",""
"AUTP","Array","non","Auteur de la photographie (Mémoire)","","","",""
"AUTR","Array","non","Auteur de l'édifice","","","",""
"CADA","Array","non","Références cadastrales","","","",""
"CANT","String","non","Canton","","","",""
"COLL","Array","non","Nombre d'édifices concernés par l'étude","","","",""
"COM","String","non","Commune normalisée","","","",""
"COOR","String","non","Coordonnées géographiques d'un point","","","",""
"COORM","String","non","Coordonnées géographiques multiples","","","",""
"COPY","Array","non","Copyright de la notice","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T21"
"COUV","Array","non","Typologie de couverture","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T26"
"DATE","Array","non","Année(s) de(s) campagne(s) de construction","","","",""
"DBOR","String","non","Date de rédaction de la notice","","","",""
"DOMN","Array","non","Domaine","","","",""
"DENO","Array","non","Dénomination de l'édifice","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T96"
"DENQ","String","non","Date de l'enquête ou du dernier récolement","","","",""
"DEPL","String","non","Lieu de conservation d'un élément architectural déplacé","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T14"
"DESC","String","non","Commentaire descriptif de l'édifice","","","",""
"DIMS","String","non","Dimensions normalisées des édicules uniquement","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T11"
"DMAJ","String","non","Date de la dernière modification de la notice","","true","",""
"DMIS","String","non","Date de versement de la notice","","true","",""
"DOSS","String","non","Typologie du dossier","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T13"
"DPRO","String","non","Date et niveau de protection de l'édifice","","","",""
"DPT","String","non","Département","","","",""
"EDIF","String","non","Nom de l'édifice","","","",""
"ELEV","Array","non","Partie d'élévation extérieure","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T25"
"ENER","Array","non","Source de l'énergie utilisée par l'édifice","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T27"
"ESCA","Array","non","Emplacement, forme et structure de l'escalier","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T29"
"ETAG","Array","non","Description de l'élévation intérieure","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T23"
"ETAT","Array","non","État de conservation (normalisé)","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T30"
"ETUD","Array","non","Cadre de l'étude","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T68"
"GENR","Array","non","Genre du destinataire","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T197"
"HIST","String","non","Description historique","","","",""
"HYDR","String","non","Nom du cours d'eau traversant ou bordant l'édifice","","","",""
"IMPL","Array","non","Milieu d'implantation pour le domaine Inventaire","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T12"
"INSEE","String","non","Numéro INSEE de la commune","","","",""
"INTE","Array","non","Intérêt de l'édifice","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T33"
"JATT","Array","non","Commentaires concernant l'attribution de l'édifice","","","",""
"JDAT","Array","non","Commentaires concernant la datation","","","",""
"LBASE2","String","non","Référence de la notice cible Mérimée pour Mémoire","","","",""
"LIEU","String","non","Lieu-dit","","","",""
"LOCA","String","non","Localisation complète","","","",""
"MANQUANT","String","non","Manquant","","","",""
"MFICH","String","non","Accès microfiche","","","",""
"MOSA","String","non","Edition d'une mosaïque d'image","","","",""
"MHPP","String","non","Précisions sur les éléments protégés","","","",""
"MICR","String","non","Numéro de microfiche","","","",""
"MURS","Array","non","Matériaux du gros-œuvre","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T57"
"NBOR","String","non","","","","",""
"NOMS","Array","non","Nom du rédacteur","","","",""
"OBS","String","non","Observations concernant la protection de l'édifice","","","",""
"PAFF","String","non","Précisions concernant l'affectataire de l'édifice","","","",""
"PART","Array","non","Partie constituante","","","",""
"PARN","Array","non","Partie constituante non étudiée","","","",""
"PDEN","String","non","Précision sur la dénomination de l'édifice - hors lexique","","","",""
"PERS","Array","non","Personnalités liées à l'histoire de l'édifice","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T6"
"PLAN","String","non","Typologie de plan","","","",""
"PLOC","String","non","Précision sur la localisation","","","",""
"PPRO","String","non","Précision sur la protection de l'édifice","","","",""
"PREP","Array","non","Description littéraire de l'iconographie","","","",""
"PROT","Array","non","Nature de la protection de l'édifice","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T10"
"PSTA","String","non","Précisions sur le statut juridique du propriétaire","","","",""
"REFE","Array","non","Référence de l'édifice de conservation","","","",""
"REFP","Array","non","Références des parties constituantes étudiées","","","",""
"REFO","Array","non","Référence aux objets conservés","","true","REFO contient une ou plusieurs références de notice Palissy. C'est une référence d'objet contenu dans le monument historique, dans la notice mérimée associée",""
"REG","String","non","Région","","","",""
"REMA","String","non","Eléments remarquables dans l'édifice","","","",""
"REMP","String","non","Remploi","","","",""
"RENV","Array","non","Numéro de renvoi vers un autre domaine","","","",""
"REPR","String","non","Indexation iconographique normalisée","","","",""
"RFPA","String","non","Identifiant de la base TrouveTout","","","",""
"SCLD","Array","non","Siècle de campagne secondaire de consctruction","","","",""
"SCLE","Array","non","Siècle de la campagne principale de construction","","","","http://data.culture.fr/thesaurus/resource/ark:/67717/T17"
"SCLX","Array","non","","","","",""
"SITE","String","non","Typologie de la zone de protection","","","",""
"STAT","String","non","Statut juridique du propriétaire","","","",""
"TECH","Array","non","Technique du décor porté de l'édifice","","","",""
"TICO","String","non","Titre courant","","","",""
"TOIT","Array","non","Matériaux de la couverture ","","","",""
"TYPO","String","non","Commentaires d'usage régional","","","",""
"VERT","String","non","Couverts ou découverts du jardin de l'édifice","","","",""
"REFIM","String","non","","","","",""
"IMG","Array","non","Autre forme de l'emplacement de l'image sur le serveur","","","",""
"VIDEO","String","non","Url de liaison avec Mémoire","","","",""
"POP_DOSSIER_VERT","String","non","PDF Inventaire (dossier verts)","","","",""
"POP_ARRETE_PROTECTION","Array","non","Arrêté de protection MH","","","",""
"POP_DOSSIER_PROTECTION","Array","non","Dossier de protection MH","","","",""
"DOSURL","String","non","URL du dossier Inventaire","","","",""
"DOSURLPDF","String","non","Lien vers le dossier PDF","","","",""
"DOSADRS","String","non","Adresse du dossier Inventaire","","","",""
"LIENS","Array","non","Liens externes éventuels","","","",""
"IMAGE","String","non","Emplacement de l'image sur le serveur","","","",""
"VISI","Array","non","Conditions d'ouverture au public","","","",""
"VOCA","String","non","Vocable - pour les édifices cultuels","",""," ",""
"VOUT","Array","non","Typologie du couvrement","","","",""
"WEB","String","non","Accès Mémoire","","","",""
"ZONE","String","non","Typologie de la coordonnée géographique de l'édifice","","","",""
"THEM","String","non","Thème de l'étude","",""," ",""
"ACMH","String","non","","","","",""
"ACURL","String","non","","","","",""
"WADRS","String","non","Adresse pour l'affichage","","","",""
"WCOM","String","non","Commune pour l'affichage","","","",""
"WRENV","String","non","Autre forme du renvoi (éditorial)","","","",""
"REFM","String","non","","","","",""
"CONTACT","String","non","Adresse courriel de contact","",""," ",""
"IDAGR","String","non","Référence informatique SIMH","","","",""
"LMDP","String","non","Référence vers la base Médiathèque","","","",""
"PINT","String","non","Intérêt oeuvre","","","Intérêt oeuvre",""
"DLAB","String","non","Date de label","","","",""
"_id","ObjectID","non","","","","",""
"__v","Number","non","","","","",""
