path,type,required,label,opendata,generated,description,validation,thesaurus
"PRODUCTEUR","String","non","","","true","Producteur de la donnée : Valeur MNR","",""
"BASE","String","non","","","true","Nom de la base : Valeur Récupération artistique (MNR Rose-Valland)","",""
"CONTIENT_IMAGE","String","non","","","true","Champ généré à chaque sauvegarde de la notice. Si notice contient des images, la valeur du champs sera oui', sinon 'non'. Ce champs est utilisé pour l'affichage de la phototèque mais pourrait être supprimé et remplacer par une fonction exist dans ES","",""
"REF","String","oui","Référence","","","Référence unique de la notice","Alphanumeric",""
"POP_IMPORT","Array","non","","","","","",""
"TOUT","String","non","","","","[PAS AFFICHE]","",""
"AUTR","Array","non","Auteur / exécutant / collecteur","","","Auteur / exécutant / collecteur","",""
"PAUT","String","non","Précisions auteur","","","Précisions auteur","",""
"ATTR","String","non","Anciennes attributions","","","Anciennes attributions","",""
"ECOL","String","non","Ecole","","","Ecole ","",""
"TITR","String","non","Titre","","","Titre ","",""
"ATIT","String","non","Ancien titre","","","Ancien titre","",""
"PTIT","String","non","Précision titre","","","Précision titre","",""
"DENO","Array","non","Dénomination du bien","","","Dénomination du bien","","http://data.culture.fr/thesaurus/resource/ark:/67717/T96"
"DESC","String","non","Description","","","Description ","",""
"DOMN","Array","non","Domaine (catégorie du bien)","","","Domaine (catégorie du bien)","",""
"LOCA","String","non","Localisation","","","Localisation ","",""
"INSC","String","non","Inscriptions","","","Inscriptions ","",""
"MARQ","String","non","Marques","","","Marques ","",""
"OBSE","String","non","Observations","","","Observations ","",""
"ETAT","String","non","Etat de conservation","","","Etat de conservation","",""
"GENE","String","non","Genèse","","","Genèse ","",""
"PROV","String","non","Provenance","","","Provenance ","",""
"HIST","String","non","Historique","","","Historique ","",""
"HIST2","String","non","","","","[PAS AFFICHE]","",""
"HIST3","String","non","","","","[PAS AFFICHE]","",""
"HIST4","String","non","","","","[PAS AFFICHE]","",""
"HIST5","String","non","","","","[PAS AFFICHE]","",""
"HIST6","String","non","","","","[PAS AFFICHE]","",""
"SCLE","Array","non","Siècle ","","","Siècle ","",""
"STYL","String","non","Style","","","Style ","",""
"MILL","String","non","Millénaire","","","Millénaire ","",""
"TECH","Array","non","Technique","","","Technique ","",""
"DIMS","Array","non","Dimensions","","","Dimensions ","",""
"VIDEO","Array","non","Champ qui contient les images","","","Champ qui contient les images","",""
"INV","String","non","N°Inventaire, ancien(s) numéros(s), autres numéros, N° de dépôt","","","N°Inventaire, ancien(s) numéros(s), autres numéros, N° de dépôt","",""
"EXPO","String","non","Exposition","","","Exposition ","",""
"BIBL","String","non","Bibliographie","","","Bibliographie ","",""
"AATT","String","non","Ancienne attribution","","","Ancienne attribution","",""
"AUTI","String","non","Autre titre","","","Autre titre","",""
"CATE","String","non","Catégorie","","","Catégorie ","",""
"CATE_DEPREC","String","non","","","","[PAS AFFICHE]","",""
"NOTE","String","non","Notes","","","Notes ","",""
"REDC","Array","non","Rédacteurs","","","Rédacteurs ","",""
"DREP","String","non","Date de la représentation","","","Date de la représentation","",""
"PREP","String","non","Précisions sur la représentation","","","Précisions sur la représentation","",""
"REPR","String","non","Représentation","","","Représentation ","",""
"SREP","String","non","Sujet de la représentation (source littéraire ou musicale) ","","","Sujet de la représentation (source littéraire ou musicale) ","",""
"REFIM","String","non","Adresses images jointes générique (actuellement non utilisé)","","","Adresses images jointes générique (actuellement non utilisé)","",""
"DMAJ","String","non","Date de la dernière mise à jour","","true","Date de la dernière mise à jour","",""
"DMIS","String","non","Date de la création POP/Mistral","","true","Date de la création POP/Mistral","",""
"AFFE","String","non","Etablissement affectataire qui existe dans d’autres bases","","","Etablissement affectataire qui existe dans d’autres bases","",""
"NUMS","String","non","Autres numéros","","","Autres numéros","",""
"SUITE","String","non","OEuvres liées, ensemble","","","OEuvres liées, ensemble","",""
"COMM","String","non","Commentaire","","","Commentaire ","",""
"NOTE2","String","non","","","","[PAS AFFICHE]","",""
"RESUME","String","non","Résumé","","","Résumé ","",""
"PHOT","String","non","Droits de copie photo","","","Droits de copie photo ","",""
"_id","ObjectID","non","","","","","",""
"__v","Number","non","","","","","",""
