path,type,required,label,opendata,generated,description,validation,thesaurus
"REF","String","non","Référence","","","","",""
"TOUT","String","non","Index global","","","","",""
"POP_COMMENTAIRES","Array","non","Commentaires POP","","true","Commentaires technique","",""
"ACCES","String","non","Accès","","","","",""
"ACTIV","String","non","Activités culturelles","","","","",""
"ADRESSE","String","non","Adresse complète","","","","",""
"ADRL1_M","String","non","Adresse","","","","",""
"AMIS","String","non","Amis du musée","","","","",""
"AN_CREAT","String","non","Année de création","","","","",""
"ANNEE_FE","String","non","Musée fermé","","","","",""
"ANNEXE","String","non","Annexe","","","","",""
"ANTARIF","String","non","Année tarifs","","","","",""
"ARTISTE","String","non","Artistes","","","","",""
"ATOUT","String","non","Atouts majeurs","","","","",""
"CEDEX_AD","String","non","ADM-Cédex","","","","",""
"COPY","String","non","Copyright photo","","","","",""
"CP_M","String","non","Code postal","","","","",""
"CTRLTECH","String","non","Ctrl tech.","","","","",""
"DOMPAL","String","non","Thématiques principales","","","","",""
"DPT","String","non","Département","","","","",""
"DT_CREAT","String","non","Date de création","","","","",""
"DT_MODIF","String","non","Date de modification","","","","",""
"DT_SAISI","String","non","Date d'entrée base","","","","",""
"GESTION","String","non","Gestion musée","","","","",""
"HIST","String","non","Historique","","","","",""
"INTERET","String","non","Intérêt arch","","","","",""
"ITI2_M","String","non","Plan Mappy","","","","",""
"ITI_M","String","non","Itinéraire Mappy","","","","",""
"JOCONDE","String","non","Base Joconde","","","","",""
"LABEL","String","non","Label","","","","",""
"LEGS","String","non","Legs","","","","",""
"LIEU_M","String","non","Adresse compl.","","","","",""
"MEL","String","non","Mél","","","","",""
"MONOPLUR","String","non","Disciplines","","","","",""
"NB_AMI","String","non","Nombre amis","","","","",""
"NOM_AMI","String","non","Association","","","","",""
"NOMANC","String","non","Ancien nom","","","","",""
"NOMOFF","String","non","Nom officiel","","","","",""
"NOMUSAGE","String","non","Nom du musée","","","","",""
"OBS_AMI","String","non","Ass. Amis Obs.","","","","",""
"OBS_TOUR","String","non","Itinéraire touristique","","","","",""
"PHARE","String","non","Phare","","","","",""
"PROPBAT","String","non","Propr. bat.","","","","",""
"PROPCOLL","String","non","Propr. coll.","","","","",""
"PROT-BAT","String","non","Protect bat.","","","","",""
"PROT-ESP","String","non","Protect esp.","","","","",""
"PUBLI","String","non","Publications","","","","",""
"REGION","String","non","Région","","","","",""
"REPCOLL","String","non","Distr. coll","","","","",""
"SERVICES","String","non","Services","","","","",""
"SIGLE_M","String","non","Sigle musée","","","","",""
"STATUT","String","non","Statut musée","","","","",""
"SURFACES","String","non","Surfaces","","","","",""
"TEL_M","String","non","Téléphone","","","","",""
"THEMES","String","non","Thèmes","","","","",""
"URL_M2","String","non","Site web 2","","","","",""
"URL_M","String","non","Site web","","","","",""
"VIDEO","String","non","Image","","","","",""
"VILLE_M","String","non","Ville","","","","",""
"RESP","String","non","Resp. scient.","","","","",""
"GRESP","String","non","Resp. scient. HF","","","","",""
"PSC","String","non","Projet SC","","","","",""
"DPSC-D","String","non","date PSC DRAC","","","","",""
"DPSC-S","String","non","date PSC SMF","","","","",""
"DMDF","String","non","an appel. MDF","","","","",""
"SPUB","String","non","Service publics","","","","",""
"SPUB-P","String","non","S. publics préc.","","","","",""
"INVR","String","non","Inventaire regl.","","","","",""
"NUMER","String","non","Numérisation","","","","",""
"LGN","String","non","Coll. en ligne","","","","",""
"REST","String","non","","","","","",""
"ACQU","String","non","","","","","",""
"RECOL","String","non","","","","","",""
"location.lat","Number","non","","","","","",""
"location.lon","Number","non","","","","","",""
"_id","ObjectID","non","","","","","",""
"__v","Number","non","","","","","",""
