path,type,required,label,opendata,generated,description,validation,thesaurus
"PRODUCTEUR","String","non","Producteur","","true","Producteur de la donnée : MUSEE","",""
"BASE","String","non","Nom de la base","","true","Nom de la base : Collections des musées de France (Joconde)","",""
"CONTIENT_IMAGE","String","non","Contient une image","","true","Champ généré à chaque sauvegarde de la notice. Si notice contient des images, la valeur du champ sera oui', sinon 'non'. Ce champ est utilisé pour l'affichage de la phototèque mais pourrait être supprimé et remplacer par une fonction exist dans ES","",""
"POP_COORDONNEES.lat","Number","non","","","true","Latitude de la notice en WGS84","",""
"POP_COORDONNEES.lon","Number","non","","","true","Longitude de la notice en WGS84","",""
"POP_CONTIENT_GEOLOCALISATION","String","non","Contient une position","","true","Champ qui permet de savoir si la geolocalisation est disponible ou non","",""
"REF","String","oui","Référence","","","Référence unique de la notice","Alphanumeric",""
"POP_IMPORT","Array","non","","","","","",""
"REFMIS","String","non","Référence de mise à jour (marque de la modification de la notice) ","","","Référence de mise à jour (marque de la modification de la notice)","",""
"ADPT","Array","non","Ancien dépôt","","","Ancien dépôt / changement d’affectation","",""
"APPL","String","non","Appellation","","","Appellation","",""
"APTN","String","non","Ancienne appartenance","","","Ancienne appartenance (nom du donateur / testateur/ vendeur) ","",""
"ATTR","String","non","Anciennes attributions","","","Anciennes attributions","",""
"AUTR","String","non","Auteur /exécutant / collecteur","","","Auteur / exécutant / collecteur","","http://data.culture.fr/thesaurus/resource/ark:/67717/T513"
"BIBL","String","non","Bibliographie","","","Bibliographie","",""
"COMM","String","non","Commentaires","","","Commentaires","",""
"CONTACT","String","non","Lien contact musée","","true","Lien contact musée","Email",""
"COOR","String","non","Coordinateur","","","Coordinateur","",""
"COPY","String","non","Copyright notice","","","Copyright notice","",""
"DACQ","String","non","Date d’acquisition","","","Date d’acquisition","",""
"DATA","String","non","","","","[Peut être déprécié : Pas affiché en production ni en consultation]  ","",""
"DATION","String","non","","","","[Peut être déprécié : Pas affiché en production ni en consultation]  ","",""
"DDPT","String","non","Date de dépôt","","","Date de dépôt / changement d’affectation","",""
"DECV","String","non","Découverte / collecte / récolte (lieu de découverte / collecte / récolte) ; Type de site ; Méthode de découverte /collecte / récolte ; Date de découverte / collecte / récolte ; Découvreur / collecteur)","","","Découverte / collecte / récolte (lieu de découverte / collecte / récolte) ; Type de site ; Méthode de découverte /collecte / récolte ; Date de découverte / collecte / récolte ; Découvreur / collecteur) ","","http://data.culture.fr/thesaurus/resource/ark:/67717/T115"
"DENO","Array","non","Dénomination du bien","","","Dénomination du bien","","http://data.culture.fr/thesaurus/resource/ark:/67717/T505"
"DEPO","String","non","Dépot","","","Dépôt / établissement dépositaire","",""
"DESC","String","non","Description","","","Description ","",""
