path,type,required,label,opendata,master,description,validation,thesaurus
"PRODUCTEUR","String","non","","","true","Producteur de la donnée : Valeur MNR","",""
"BASE","String","non","","","true","Nom de la base : Valeur Récupération artistique (MNR Rose-Valland)","",""
"CONTIENT_IMAGE","String","non","","","true","Champ généré à chaque sauvegarde de la notice. Si notice contient des images, la valeur du champs sera oui', sinon 'non'. Ce champs est utilisé pour l'affichage de la phototèque mais pourrait être supprimé et remplacer par une fonction exist dans ES","",""
"REF","String","oui","Référence","","true","Référence unique de la notice","Alphanumeric",""
"POP_IMPORT","Array","non","","","","","",""
"TOUT","String","non","","","true","[PAS AFFICHE]","",""
"AUTR","Array","non","Auteur / exécutant / collecteur","","true","Auteur / exécutant / collecteur","",""
"PAUT","String","non","Précisions auteur","","true","Précisions auteur","",""
"ATTR","String","non","Anciennes attributions","","true","Anciennes attributions","",""
"ECOL","String","non","Ecole","","true","Ecole ","",""
"TITR","String","non","Titre","","true","Titre ","",""
"ATIT","String","non","Ancien titre","","true","Ancien titre","",""
"PTIT","String","non","Précision titre","","true","Précision titre","",""
"DENO","Array","non","Dénomination du bien","","true","Dénomination du bien","","http://data.culture.fr/thesaurus/resource/ark:/67717/T96"
"DESC","String","non","Description","","true","Description ","",""
"DOMN","Array","non","Domaine (catégorie du bien)","","true","Domaine (catégorie du bien)","",""
"LOCA","String","non","Localisation","","true","Localisation ","",""
"INSC","String","non","Inscriptions","","true","Inscriptions ","",""
"MARQ","String","non","Marques","","true","Marques ","",""
"OBSE","String","non","Observations","","true","Observations ","",""
"ETAT","String","non","Etat de conservation","","true","Etat de conservation","",""
"GENE","String","non","Genèse","","true","Genèse ","",""
"PROV","String","non","Provenance","","true","Provenance ","",""
"HIST","String","non","Historique","","true","Historique ","",""
"HIST2","String","non","","","true","[PAS AFFICHE]","",""
"HIST3","String","non","","","true","[PAS AFFICHE]","",""
"HIST4","String","non","","","true","[PAS AFFICHE]","",""
"HIST5","String","non","","","true","[PAS AFFICHE]","",""
"HIST6","String","non","","","true","[PAS AFFICHE]","",""
"SCLE","Array","non","Siècle ","","true","Siècle ","",""
"STYL","String","non","Style","","true","Style ","",""
"MILL","String","non","Millénaire","","true","Millénaire ","",""
"TECH","Array","non","Technique","","true","Technique ","",""
"DIMS","Array","non","Dimensions","","true","Dimensions ","",""
"VIDEO","Array","non","Champ qui contient les images","","true","Champ qui contient les images","",""
"INV","String","non","N°Inventaire, ancien(s) numéros(s), autres numéros, N° de dépôt","","true","N°Inventaire, ancien(s) numéros(s), autres numéros, N° de dépôt","",""
"EXPO","String","non","Exposition","","true","Exposition ","",""
"BIBL","String","non","Bibliographie","","true","Bibliographie ","",""
"AATT","String","non","Ancienne attribution","","true","Ancienne attribution","",""
"AUTI","String","non","Autre titre","","true","Autre titre","",""
"CATE","String","non","Catégorie","","true","Catégorie ","",""
"CATE_DEPREC","String","non","","","true","[PAS AFFICHE]","",""
"NOTE","String","non","Notes","","true","Notes ","",""
"REDC","Array","non","Rédacteurs","","true","Rédacteurs ","",""
"DREP","String","non","Date de la représentation","","true","Date de la représentation","",""
"PREP","String","non","Précisions sur la représentation","","true","Précisions sur la représentation","",""
"REPR","String","non","Représentation","","true","Représentation ","",""
"SREP","String","non","Sujet de la représentation (source littéraire ou musicale) ","","true","Sujet de la représentation (source littéraire ou musicale) ","",""
"REFIM","String","non","Adresses images jointes générique (actuellement non utilisé)","","true","Adresses images jointes générique (actuellement non utilisé)","",""
"DMAJ","String","non","Date de la dernière mise à jour","","true","Date de la dernière mise à jour","",""
"DMIS","String","non","Date de la création POP/Mistral","","true","Date de la création POP/Mistral","",""
"AFFE","String","non","Etablissement affectataire qui existe dans d’autres bases","","true","Etablissement affectataire qui existe dans d’autres bases","",""
"NUMS","String","non","Autres numéros","","true","Autres numéros","",""
"SUITE","String","non","OEuvres liées, ensemble","","true","OEuvres liées, ensemble","",""
"COMM","String","non","Commentaire","","true","Commentaire ","",""
"NOTE2","String","non","","","true","[PAS AFFICHE]","",""
"RESUME","String","non","Résumé","","true","Résumé ","",""
"PHOT","String","non","Droits de copie photo","","true","Droits de copie photo ","",""
"_id","ObjectID","non","","","","","",""
"__v","Number","non","","","","","",""
